id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4734,Kepler-231 c,316.618,24.1 Earths,15.813,2014,https://science.nasa.gov/exoplanet-catalog/kepler-231-c/
4735,Kepler-230 c,740.754,4.82 Earths,15.264,2014,https://science.nasa.gov/exoplanet-catalog/kepler-230-c/
4736,Kepler-230 b,740.754,16.8 Earths,15.264,2014,https://science.nasa.gov/exoplanet-catalog/kepler-230-b/
4737,Kepler-229 d,826.265,14.2 Earths,16.22,2014,https://science.nasa.gov/exoplanet-catalog/kepler-229-d/
4738,Kepler-229 b,826.265,5.48 Earths,16.22,2014,https://science.nasa.gov/exoplanet-catalog/kepler-229-b/
4739,Kepler-228 d,1644.61,15.4 Earths,15.902,2014,https://science.nasa.gov/exoplanet-catalog/kepler-228-d/
4740,Kepler-228 c,1644.61,7.75 Earths,15.902,2014,https://science.nasa.gov/exoplanet-catalog/kepler-228-c/
4741,Kepler-227 c,1083.06,9.48 Earths,15.623,2014,https://science.nasa.gov/exoplanet-catalog/kepler-227-c/
4742,Kepler-227 b,1083.06,9.85 Earths,15.623,2014,https://science.nasa.gov/exoplanet-catalog/kepler-227-b/
4743,K2-9 b,82.9631,5.69 Earths,15.86,2015,https://science.nasa.gov/exoplanet-catalog/k2-9-b/
4744,K2-8 b,403.513,12.5 Earths,14.801,2015,https://science.nasa.gov/exoplanet-catalog/k2-8-b/
4745,K2-7 b,738.553,15.3 Earths,13.453,2015,https://science.nasa.gov/exoplanet-catalog/k2-7-b/
4746,K2-5 c,202.943,5.73 Earths,14.974,2015,https://science.nasa.gov/exoplanet-catalog/k2-5-c/
4747,K2-5 b,202.943,4.31 Earths,14.974,2015,https://science.nasa.gov/exoplanet-catalog/k2-5-b/
4748,K2-4 b,231.828,5.06 Earths,14.855,2015,https://science.nasa.gov/exoplanet-catalog/k2-4-b/
4749,K2-19 b,289.827,30.8 Earths,13.024,2015,https://science.nasa.gov/exoplanet-catalog/k2-19-b/
4750,WASP-133 b,559.084,1.16 Jupiters,12.891,2016,https://science.nasa.gov/exoplanet-catalog/wasp-133-b/
4751,WASP-129 b,301.462,1 Jupiter,12.179,2016,https://science.nasa.gov/exoplanet-catalog/wasp-129-b/
4752,WASP-124 b,448.637,0.6 Jupiters,12.724,2016,https://science.nasa.gov/exoplanet-catalog/wasp-124-b/
4753,WASP-119 b,302.448,1.23 Jupiters,12.314,2016,https://science.nasa.gov/exoplanet-catalog/wasp-119-b/
4754,Kepler-630 b,839.784,10.2 Earths,14.001,2016,https://science.nasa.gov/exoplanet-catalog/kepler-630-b/
4755,Kepler-629 b,372.05,2.48 Earths,13.481,2016,https://science.nasa.gov/exoplanet-catalog/kepler-629-b/
4756,Kepler-627 b,984.307,13.4 Earths,14.181,2016,https://science.nasa.gov/exoplanet-catalog/kepler-627-b/
